"table_name","field_name","field_value","language","translation"
"stops","stop_name","上中野","en","Kaminakano"
"stops","stop_name","上中野","ja","上中野"
"stops","stop_name","上中野","ja-Hrkt","カミナカノ"
"stops","stop_name","上中野二丁目","en","Kaminakano 2-chome"
"stops","stop_name","上中野二丁目","ja","上中野二丁目"
"stops","stop_name","上中野二丁目","ja-Hrkt","カミナカノニチョウメ"
"stops","stop_name","上南中学校前","en","Jonan Chugakko-mae（Jonan Junior High School）"
"stops","stop_name","上南中学校前","ja","上南中学校前"
"stops","stop_name","上南中学校前","ja-Hrkt","ジョウナンチュウガッコウマエ"
"stops","stop_name","上寺入口","en","Uedera Iriguchi"
"stops","stop_name","上寺入口","ja","上寺入口"
"stops","stop_name","上寺入口","ja-Hrkt","ウエテライリグチ"
"stops","stop_name","上山坂","en","Kamiyamasaka"
"stops","stop_name","上山坂","ja","上山坂"
"stops","stop_name","上山坂","ja-Hrkt","カミヤマサカ"
"stops","stop_name","上山田","en","Kamiyamada"
"stops","stop_name","上山田","ja","上山田"
"stops","stop_name","上山田","ja-Hrkt","カミヤマダ"
"stops","stop_name","上山田東","en","Kamiyamada-higashi"
"stops","stop_name","上山田東","ja","上山田東"
"stops","stop_name","上山田東","ja-Hrkt","カミヤマダヒガシ"
"stops","stop_name","上平井","en","Kamihirai"
"stops","stop_name","上平井","ja","上平井"
"stops","stop_name","上平井","ja-Hrkt","カミヒライ"
"stops","stop_name","上成","en","Uwanari"
"stops","stop_name","上成","ja","上成"
"stops","stop_name","上成","ja-Hrkt","ウワナリ"
"stops","stop_name","上阿知中","en","Kamiachi-naka"
"stops","stop_name","上阿知中","ja","上阿知中"
"stops","stop_name","上阿知中","ja-Hrkt","カミアチナカ"
"stops","stop_name","上阿知東","en","Kamiachi-higashi"
"stops","stop_name","上阿知東","ja","上阿知東"
"stops","stop_name","上阿知東","ja-Hrkt","カミアチヒガシ"
"stops","stop_name","上阿知西","en","Kamiachi-nishi"
"stops","stop_name","上阿知西","ja","上阿知西"
"stops","stop_name","上阿知西","ja-Hrkt","カミアチニシ"
"stops","stop_name","下中野","en","ShimoNakano"
"stops","stop_name","下中野","ja","下中野"
"stops","stop_name","下中野","ja-Hrkt","シモナカノ"
"stops","stop_name","下中野北","en","Shimonakano-kita"
"stops","stop_name","下中野北","ja","下中野北"
"stops","stop_name","下中野北","ja-Hrkt","シモナカノキタ"
"stops","stop_name","下中野本町","en","Shimonakako Hommachi"
"stops","stop_name","下中野本町","ja","下中野本町"
"stops","stop_name","下中野本町","ja-Hrkt","シモナカノホンマチ"
"stops","stop_name","下伊福二丁目","en","Shimo-Ifuku 2-chome"
"stops","stop_name","下伊福二丁目","ja","下伊福二丁目"
"stops","stop_name","下伊福二丁目","ja-Hrkt","シモイフクニチョウメ"
"stops","stop_name","下の原","en","Shimonohara"
"stops","stop_name","下の原","ja","下の原"
"stops","stop_name","下の原","ja-Hrkt","シモノハラ"
"stops","stop_name","下の原南・旭川荘南地区前","en","Shimonohara-minami/Asahigawasou Minami Chiku-mae"
"stops","stop_name","下の原南・旭川荘南地区前","ja","下の原南・旭川荘南地区前"
"stops","stop_name","下の原南・旭川荘南地区前","ja-Hrkt","シモノハラミナミアサヒガワソウミナミチクマエ"
"stops","stop_name","下山田","en","Shimoyamada"
"stops","stop_name","下山田","ja","下山田"
"stops","stop_name","下山田","ja-Hrkt","シモヤマダ"
"stops","stop_name","下撫川","en","Shimonatsukawa"
"stops","stop_name","下撫川","ja","下撫川"
"stops","stop_name","下撫川","ja-Hrkt","シモナツカワ"
"stops","stop_name","下阿知中","en","Shimoachi-naka"
"stops","stop_name","下阿知中","ja","下阿知中"
"stops","stop_name","下阿知中","ja-Hrkt","シモアチナカ"
"stops","stop_name","下阿知東","en","Shimoachi-higashi"
"stops","stop_name","下阿知東","ja","下阿知東"
"stops","stop_name","下阿知東","ja-Hrkt","シモアチヒガシ"
"stops","stop_name","下阿知西","en","Shimoachi-nishi"
"stops","stop_name","下阿知西","ja","下阿知西"
"stops","stop_name","下阿知西","ja-Hrkt","シモアチニシ"
"stops","stop_name","丘","en","Oka"
"stops","stop_name","丘","ja","丘"
"stops","stop_name","丘","ja-Hrkt","オカ"
"stops","stop_name","両備前","en","Ryobi-mae"
"stops","stop_name","両備前","ja","両備前"
"stops","stop_name","両備前","ja-Hrkt","リョウビマエ"
"stops","stop_name","両備テクノ前","en","Ryobi Tekuno-mae"
"stops","stop_name","両備テクノ前","ja","両備テクノ前"
"stops","stop_name","両備テクノ前","ja-Hrkt","リョウビテクノマエ"
"stops","stop_name","並木町","en","Namikicho"
"stops","stop_name","並木町","ja","並木町"
"stops","stop_name","並木町","ja-Hrkt","ナミキチョウ"
"stops","stop_name","並木町二丁目","en","Namikicho 2-chome"
"stops","stop_name","並木町二丁目","ja","並木町二丁目"
"stops","stop_name","並木町二丁目","ja-Hrkt","ナミキチョウニチョウメ"
"stops","stop_name","中井","en","Nakai"
"stops","stop_name","中井","ja","中井"
"stops","stop_name","中井","ja-Hrkt","ナカイ"
"stops","stop_name","中井北","en","Nakai-kita"
"stops","stop_name","中井北","ja","中井北"
"stops","stop_name","中井北","ja-Hrkt","ナカイキタ"
"stops","stop_name","中仙道","en","Nakasendo"
"stops","stop_name","中仙道","ja","中仙道"
"stops","stop_name","中仙道","ja-Hrkt","ナカセンドウ"
"stops","stop_name","中仙道西","en","Nakasendo-nishi"
"stops","stop_name","中仙道西","ja","中仙道西"
"stops","stop_name","中仙道西","ja-Hrkt","ナカセンドウニシ"
"stops","stop_name","中原","en","Nakahara"
"stops","stop_name","中原","ja","中原"
"stops","stop_name","中原","ja-Hrkt","ナカハラ"
"stops","stop_name","中の原南・総合在宅支援センター前","en","Nakanohara-minami/Sogo Zaitaku Shien Center-mae"
"stops","stop_name","中の原南・総合在宅支援センター前","ja","中の原南・総合在宅支援センター前"
"stops","stop_name","中の原南・総合在宅支援センター前","ja-Hrkt","ナカノハラミナミソウゴウザイタクシエンセンターマエ"
"stops","stop_name","中の原・旭川荘厚生専門学院前","en","Nakanohara/Asahigawasou Kousei Senmon Gakuin-mae"
"stops","stop_name","中の原・旭川荘厚生専門学院前","ja","中の原・旭川荘厚生専門学院前"
"stops","stop_name","中の原・旭川荘厚生専門学院前","ja-Hrkt","ナカノハラアサヒガワソウコウセイセンモンガクインマエ"
"stops","stop_name","中国学園入口","en","Chugoku Gakuen Iriguchi"
"stops","stop_name","中国学園入口","ja","中国学園入口"
"stops","stop_name","中国学園入口","ja-Hrkt","チュウゴクガクエンイリグチ"
"stops","stop_name","中国能開大","en","Chugoku Nokaidai"
"stops","stop_name","中国能開大","ja","中国能開大"
"stops","stop_name","中国能開大","ja-Hrkt","チュウゴクノウカイダイ"
"stops","stop_name","中央二丁目","en","Chuo 2-chome"
"stops","stop_name","中央二丁目","ja","中央二丁目"
"stops","stop_name","中央二丁目","ja-Hrkt","チュウオウニチョウメ"
"stops","stop_name","中央市場前","en","Chuo Ichiba-mae"
"stops","stop_name","中央市場前","ja","中央市場前"
"stops","stop_name","中央市場前","ja-Hrkt","チュウオウイチバマエ"
"stops","stop_name","中姓寺","en","Nakasyouji"
"stops","stop_name","中姓寺","ja","中姓寺"
"stops","stop_name","中姓寺","ja-Hrkt","ナカショウジ"
"stops","stop_name","中学校前","en","Chugakko-mae"
"stops","stop_name","中学校前","ja","中学校前"
"stops","stop_name","中学校前","ja-Hrkt","チュウガッコウマエ"
"stops","stop_name","中山トンネル","en","Nakayama Tunnel"
"stops","stop_name","中山トンネル","ja","中山トンネル"
"stops","stop_name","中山トンネル","ja-Hrkt","ナカヤマトンネル"
"stops","stop_name","中島口","en","Nakashimaguchi"
"stops","stop_name","中島口","ja","中島口"
"stops","stop_name","中島口","ja-Hrkt","ナカシマグチ"
"stops","stop_name","中庄駅","en","Nakasho Sta."
"stops","stop_name","中庄駅","ja","中庄駅"
"stops","stop_name","中庄駅","ja-Hrkt","ナカショウエキ"
"stops","stop_name","中撫川","en","Nakanatsukawa"
"stops","stop_name","中撫川","ja","中撫川"
"stops","stop_name","中撫川","ja-Hrkt","ナカナツカワ"
"stops","stop_name","中浜","en","Nakahama"
"stops","stop_name","中浜","ja","中浜"
"stops","stop_name","中浜","ja-Hrkt","ナカハマ"
"stops","stop_name","中筋","en","Nanakasuji"
"stops","stop_name","中筋","ja","中筋"
"stops","stop_name","中筋","ja-Hrkt","ナカスジ"
"stops","stop_name","中西","en","Chusei"
"stops","stop_name","中西","ja","中西"
"stops","stop_name","中西","ja-Hrkt","チュウセイ"
"stops","stop_name","中銀前","en","Chugin-mae"
"stops","stop_name","中銀前","ja","中銀前"
"stops","stop_name","中銀前","ja-Hrkt","チュウギンマエ"
"stops","stop_name","中電前","en","Chuden-mae"
"stops","stop_name","中電前","ja","中電前"
"stops","stop_name","中電前","ja-Hrkt","チュウデンマエ"
"stops","stop_name","久々井","en","Kugui"
"stops","stop_name","久々井","ja","久々井"
"stops","stop_name","久々井","ja-Hrkt","クグイ"
"stops","stop_name","亀島橋","en","Kamejimabashi"
"stops","stop_name","亀島橋","ja","亀島橋"
"stops","stop_name","亀島橋","ja-Hrkt","カメジマバシ"
"stops","stop_name","二塚","en","Futatsuka"
"stops","stop_name","二塚","ja","二塚"
"stops","stop_name","二塚","ja-Hrkt","フタツカ"
"stops","stop_name","二本松","en","Nihommatsu"
"stops","stop_name","二本松","ja","二本松"
"stops","stop_name","二本松","ja-Hrkt","ニホンマツ"
"stops","stop_name","二福小古城池高前","en","Nifukusho/Kojoikeko-mae"
"stops","stop_name","二福小古城池高前","ja","二福小古城池高前"
"stops","stop_name","二福小古城池高前","ja-Hrkt","ニフクショウコジョウイケコウマエ"
"stops","stop_name","二軒茶屋","en","Nikenjaya"
"stops","stop_name","二軒茶屋","ja","二軒茶屋"
"stops","stop_name","二軒茶屋","ja-Hrkt","ニケンヂャヤ"
"stops","stop_name","五明","en","Gomyo"
"stops","stop_name","五明","ja","五明"
"stops","stop_name","五明","ja-Hrkt","ゴミョウ"
"stops","stop_name","五明団地","en","Gomyo-Danchi"
"stops","stop_name","五明団地","ja","五明団地"
"stops","stop_name","五明団地","ja-Hrkt","ゴミョウダンチ"
"stops","stop_name","交流会館入口","en","Koryu Kaikan Iriguchi"
"stops","stop_name","交流会館入口","ja","交流会館入口"
"stops","stop_name","交流会館入口","ja-Hrkt","コウリュウカイカンイリグチ"
"stops","stop_name","京山","en","Kyoyama"
