"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"5_511_1","34.608444444444444","133.87133055555555","1",
"5_511_1","34.608719444444446","133.87125555555556","2",
"5_511_1","34.6106","133.870625","3",
"5_511_1","34.61074166666667","133.87060555555556","4",
"5_511_1","34.610841666666666","133.87075555555555","5",
"5_511_1","34.61139444444444","133.87179444444445","6",
"5_511_1","34.611580555555555","133.87218333333334","7",
"5_511_1","34.612325","133.8725638888889","8",
"5_511_1","34.613325","133.87304444444445","9",
"5_511_1","34.613863888888886","133.87330833333334","10",
"5_511_1","34.61490555555555","133.87343333333334","11",
"5_511_1","34.61544444444444","133.873475","12",
"5_511_1","34.615991666666666","133.8734","13",
"5_511_1","34.616455555555554","133.87325555555555","14",
"5_511_1","34.617783333333335","133.87279166666667","15",
"5_511_1","34.61893055555556","133.87240555555556","16",
"5_511_1","34.61901944444445","133.87243333333333","17",
"5_511_1","34.61978888888889","133.87474166666667","18",
"5_511_1","34.619880555555554","133.874975","19",
"5_511_1","34.62199444444445","133.87404444444445","20",
"5_511_1","34.62361666666666","133.87347777777777","21",
"5_511_1","34.62600833333333","133.87276666666668","22",
"5_511_1","34.627608333333335","133.87214166666666","23",
"5_511_1","34.630405555555555","133.87101666666666","24",
"5_511_1","34.63140555555555","133.870625","25",
"5_511_1","34.63356944444445","133.87013333333334","26",
"5_511_1","34.63438333333333","133.87001666666666","27",
"5_511_1","34.634816666666666","133.87004166666668","28",
"5_511_1","34.63558888888889","133.8703277777778","29",
"5_511_1","34.63601944444444","133.87054444444445","30",
"5_511_1","34.640430555555554","133.87020555555554","31",
"5_511_1","34.641641666666665","133.87023055555557","32",
"5_511_1","34.64174444444444","133.87223333333333","33",
"5_511_1","34.64182777777778","133.87386944444444","34",
"5_511_1","34.6421","133.87489444444444","35",
"5_511_1","34.64223333333333","133.87561666666667","36",
"5_511_1","34.64226388888889","133.87698055555555","37",
"5_511_1","34.642291666666665","133.87865555555555","38",
"5_511_1","34.642316666666666","133.88155277777778","39",
"5_511_1","34.642266666666664","133.883375","40",
"5_511_1","34.64224166666666","133.88519166666666","41",
"5_511_1","34.64221388888889","133.8912777777778","42",
"5_511_1","34.64665","133.89105555555557","43",
"5_511_1","34.649966666666664","133.890925","44",
"5_511_1","34.65093888888889","133.890275","45",
"5_511_1","34.65111944444445","133.8903","46",
"5_511_1","34.65118888888889","133.89007222222222","47",
"5_511_1","34.651316666666666","133.8898638888889","48",
"5_511_1","34.65215277777778","133.88930555555555","49",
"5_511_1","34.652205555555554","133.88824166666666","50",
"5_511_1","34.65219166666667","133.88764166666667","51",
"5_511_1","34.65168055555556","133.88568055555555","52",
"5_511_1","34.65168055555556","133.88554166666665","53",
"5_511_1","34.652027777777775","133.88543055555556","54",
"5_511_1","34.652630555555554","133.88535555555555","55",
"5_512_1","34.652455555555555","133.88534166666668","1",
"5_512_1","34.65170277777778","133.88569166666667","2",
"5_512_1","34.6519","133.88643055555556","3",
"5_512_1","34.65211388888889","133.88721944444444","4",
"5_512_1","34.652208333333334","133.88784166666667","5",
"5_512_1","34.65218055555555","133.8891","6",
"5_512_1","34.652141666666665","133.8893388888889","7",
"5_512_1","34.65184166666667","133.88946666666666","8",
"5_512_1","34.65121944444444","133.89004166666666","9",
"5_512_1","34.651155555555555","133.89029166666666","10",
"5_512_1","34.650727777777774","133.89051666666666","11",
"5_512_1","34.65005","133.89096944444444","12",
"5_512_1","34.644466666666666","133.89126666666667","13",
"5_512_1","34.64222777777778","133.89139166666666","14",
"5_512_1","34.64219166666667","133.89125833333333","15",
"5_512_1","34.64222777777778","133.88505","16",
"5_512_1","34.64228055555556","133.88074166666667","17",
"5_512_1","34.64228055555556","133.878925","18",
"5_512_1","34.64225277777778","133.87710555555554","19",
"5_512_1","34.6422","133.87545833333334","20",
"5_512_1","34.64208333333333","133.87491944444446","21",
"5_512_1","34.64191666666667","133.8744","22",
"5_512_1","34.641816666666664","133.8739527777778","23",
"5_512_1","34.64176388888889","133.87325","24",
"5_512_1","34.64171666666667","133.8722","25",
"5_512_1","34.64168333333333","133.8711888888889","26",
"5_512_1","34.64163888888889","133.87030555555555","27",
"5_512_1","34.641533333333335","133.87026666666668","28",
"5_512_1","34.640541666666664","133.8702888888889","29",
"5_512_1","34.63935277777778","133.87036944444444","30",
"5_512_1","34.63766666666667","133.8705527777778","31",
"5_512_1","34.636405555555555","133.87065","32",
"5_512_1","34.6362","133.8706138888889","33",
"5_512_1","34.63592777777778","133.87052777777777","34",
"5_512_1","34.635083333333334","133.87015555555556","35",
"5_512_1","34.63480833333333","133.87007777777777","36",
"5_512_1","34.634388888888886","133.87003333333334","37",
"5_512_1","34.63376944444445","133.87011666666666","38",
"5_512_1","34.632616666666664","133.87034166666666","39",
"5_512_1","34.63135833333333","133.87065555555554","40",
"5_512_1","34.630516666666665","133.87096944444446","41",
"5_512_1","34.62938333333334","133.87144444444445","42",
"5_512_1","34.62833055555556","133.87186666666668","43",
"5_512_1","34.62681666666667","133.87248888888888","44",
"5_512_1","34.62571666666667","133.87288055555555","45",
"5_512_1","34.6245","133.87323333333333","46",
"5_512_1","34.623330555555555","133.8735888888889","47",
"5_512_1","34.62184166666667","133.87413055555555","48",
"5_512_1","34.62025833333333","133.87483055555555","49",
"5_512_1","34.619883333333334","133.87499166666666","50",
"5_512_1","34.619816666666665","133.87494166666667","51",
"5_512_1","34.61909166666667","133.8727027777778","52",
"5_512_1","34.61900555555555","133.87241944444443","53",
"5_512_1","34.616725","133.87315833333332","54",
"5_512_1","34.61631666666667","133.87332777777777","55",
"5_512_1","34.61593333333333","133.87340833333334","56",
"5_512_1","34.61551388888889","133.87347777777777","57",
"5_512_1","34.61510277777778","133.87346666666667","58",
"5_512_1","34.61420277777778","133.873375","59",
"5_512_1","34.61385555555555","133.87333055555555","60",
"5_512_1","34.6136","133.873225","61",
"5_512_1","34.613141666666664","133.87296666666666","62",
"5_512_1","34.61259166666667","133.87266944444445","63",
"5_512_1","34.612344444444446","133.87258055555554","64",
"5_512_1","34.611608333333336","133.87221666666667","65",
"5_512_1","34.61141666666666","133.87185555555556","66",
"5_512_1","34.611105555555554","133.87125833333334","67",
"5_512_1","34.610791666666664","133.87065833333332","68",
"5_512_1","34.610730555555556","133.87060833333334","69",
"5_512_1","34.610641666666666","133.87061944444446","70",
"5_512_1","34.60984166666667","133.87085833333333","71",
"5_512_1","34.609091666666664","133.87111666666667","72",
"5_512_1","34.60873055555555","133.87125555555556","73",
"5_512_1","34.60856666666667","133.87134444444445","74",
"5_512_1","34.608488888888886","133.87133055555555","75",
"5_521_1","34.60848333333333","133.87130833333333","1",
"5_521_1","34.608866666666664","133.87120277777777","2",
"5_521_1","34.61055","133.87061666666668","3",
"5_521_1","34.61073888888889","133.87060833333334","4",
"5_521_1","34.61128055555555","133.87156666666667","5",
"5_521_1","34.611577777777775","133.87216388888888","6",
"5_521_1","34.61221944444444","133.87251666666666","7",
"5_521_1","34.61271388888889","133.87270555555557","8",
"5_521_1","34.61366388888889","133.87323333333333","9",
"5_521_1","34.61388888888889","133.87330833333334","10",
"5_521_1","34.61525555555556","133.87346666666667","11",
"5_521_1","34.61555555555555","133.87344444444443","12",
"5_521_1","34.61618055555556","133.87334444444446","13",
"5_521_1","34.616991666666664","133.87304444444445","14",
"5_521_1","34.61872777777778","133.87248055555557","15",
"5_521_1","34.61900277777778","133.87239444444444","16",
"5_521_1","34.61932777777778","133.87335555555555","17",
"5_521_1","34.619883333333334","133.87498333333335","18",
"5_521_1","34.62036666666667","133.87619166666667","19",
"5_521_1","34.621430555555555","133.87811666666667","20",
"5_521_1","34.621916666666664","133.87901666666667","21",
"5_521_1","34.62316666666667","133.88128055555555","22",
"5_521_1","34.62390555555555","133.88261666666668","23",
"5_521_1","34.624880555555556","133.88438055555557","24",
"5_521_1","34.625766666666664","133.88610833333334","25",
"5_521_1","34.62594722222222","133.88714166666668","26",
"5_521_1","34.625908333333335","133.887625","27",
"5_521_1","34.62555","133.88713611111112","28",
"5_521_1","34.62533611111111","133.88678055555556","29",
"5_521_1","34.622844444444446","133.88828333333333","30",
"5_521_1","34.62108055555556","133.88945555555554","31",
"5_521_1","34.62029166666667","133.890025","32",
"5_521_1","34.62071944444445","133.89140555555556","33",
"5_521_1","34.620713888888886","133.89153055555556","34",
"5_521_1","34.619680555555554","133.89253333333335","35",
"5_521_1","34.61896388888889","133.893175","36",
"5_521_1","34.619083333333336","133.89363055555555","37",
"5_521_1","34.619030555555554","133.89375555555554","38",
"5_521_1","34.61873333333333","133.89374166666667","39",
"5_521_1","34.61823888888889","133.89416666666668","40",
"5_521_1","34.61697222222222","133.89525277777778","41",
"5_521_1","34.61409166666667","133.8977277777778","42",
"5_521_1","34.61216944444445","133.89935","43",
"5_521_1","34.61162222222222","133.89981944444443","44",
"5_521_1","34.610175","133.90245555555555","45",
"5_521_1","34.609455555555556","133.90370555555555","46",
"5_521_1","34.60933055555556","133.90385555555557","47",
"5_521_1","34.6084","133.90382777777776","48",
"5_521_1","34.607594444444445","133.90363888888888","49",
"5_521_1","34.60711388888889","133.9034388888889","50",
"5_521_1","34.606144444444446","133.90275833333334","51",
"5_521_1","34.60568055555556","133.90238333333335","52",
"5_521_1","34.60516666666667","133.90313055555555","53",
"5_521_1","34.60461388888889","133.90440555555554","54",
"5_521_1","34.60406666666667","133.90655555555554","55",
"5_521_1","34.60265555555556","133.91170277777778","56",
"5_521_1","34.60080555555555","133.91857777777778","57",
"5_521_1","34.6002","133.92070833333332","58",
"5_521_1","34.59865","133.9258027777778","59",
"5_521_1","34.597055555555556","133.93093888888887","60",
"5_521_1","34.59665833333333","133.93246666666667","61",
"5_521_1","34.598816666666664","133.9333388888889","62",
"5_521_1","34.60245555555556","133.93485","63",
"5_521_1","34.60270555555555","133.93508055555554","64",
"5_521_1","34.603316666666665","133.93605555555555","65",
"5_521_1","34.604058333333334","133.93353333333334","66",
"5_521_1","34.60415555555556","133.93296666666666","67",
"5_521_1","34.60433333333334","133.93304166666667","68",
"5_521_1","34.60418333333333","133.93325555555555","69",
"5_521_1","34.60335277777778","133.93613055555556","70",
"5_521_1","34.604505555555555","133.93809166666668","71",
"5_521_1","34.601863888888886","133.940575","72",
"5_521_1","34.603716666666664","133.94135833333334","73",
"5_522_1","34.604391666666665","133.94171944444443","1",
"5_522_1","34.601819444444445","133.94060833333333","2",
"5_522_1","34.601866666666666","133.9404638888889","3",
"5_522_1","34.60443055555555","133.93810555555555","4",
"5_522_1","34.60328888888889","133.93616944444443","5",
"5_522_1","34.60400555555555","133.93368055555555","6",
"5_522_1","34.604080555555555","133.93337777777776","7",
"5_522_1","34.604169444444445","133.9329888888889","8",
"5_522_1","34.60433888888889","133.93303055555555","9",
"5_522_1","34.604144444444444","133.93330277777778","10",
"5_522_1","34.60335833333333","133.9360638888889","11",
"5_522_1","34.60299722222222","133.93570277777778","12",
"5_522_1","34.60250555555555","133.93489166666666","13",
"5_522_1","34.59971111111111","133.93373888888888","14",
"5_522_1","34.598730555555555","133.933325","15",
"5_522_1","34.59645277777778","133.932375","16",
"5_522_1","34.59656388888889","133.93167777777776","17",
"5_522_1","34.59808611111111","133.92680833333333","18",
"5_522_1","34.59849444444445","133.9254861111111","19",
"5_522_1","34.59961666666667","133.92184722222223","20",
"5_522_1","34.60006111111111","133.92059166666667","21",
"5_522_1","34.60038611111111","133.91955277777777","22",
"5_522_1","34.60216944444444","133.9133361111111","23",
"5_522_1","34.60363611111111","133.908075","24",
"5_522_1","34.60413055555556","133.906225","25",
"5_522_1","34.604483333333334","133.90473055555555","26",
"5_522_1","34.60493888888889","133.90343055555556","27",
"5_522_1","34.60563333333333","133.9021361111111","28",
"5_522_1","34.606794444444446","133.9031","29",
"5_522_1","34.60743333333333","133.90343055555556","30",
"5_522_1","34.60848333333333","133.90370833333333","31",
"5_522_1","34.60939166666667","133.9037361111111","32",
"5_522_1","34.610622222222226","133.90161388888887","33",
"5_522_1","34.61163055555556","133.8998","34",
"5_522_1","34.61253611111111","133.8990472222222","35",
"5_522_1","34.615291666666664","133.89665833333333","36",
"5_522_1","34.61853611111111","133.89393611111112","37",
"5_522_1","34.61873333333333","133.89371666666668","38",
"5_522_1","34.61887222222222","133.89378055555557","39",
"5_522_1","34.61909722222222","133.89366944444444","40",
"5_522_1","34.61895555555556","133.89314166666668","41",
"5_522_1","34.62070833333333","133.89152222222222","42",
"5_522_1","34.62071666666667","133.89138333333332","43",
"5_522_1","34.62028055555555","133.89001666666667","44",
"5_522_1","34.62099166666667","133.88951111111112","45",
"5_522_1","34.623155555555556","133.88807777777777","46",
"5_522_1","34.62531944444444","133.88675833333335","47",
"5_522_1","34.625705555555555","133.88741944444445","48",
"5_522_1","34.62594444444444","133.88769722222222","49",
"5_522_1","34.62593611111111","133.88709166666666","50",
"5_522_1","34.625766666666664","133.88615833333333","51",
"5_522_1","34.624725","133.88414722222223","52",
"5_522_1","34.62337222222222","133.88169166666665","53",
"5_522_1","34.62190555555556","133.879025","54",
"5_522_1","34.62048611111111","133.8764361111111","55",
"5_522_1","34.61983055555555","133.8749611111111","56",
"5_522_1","34.61900833333333","133.87240555555556","57",
"5_522_1","34.61763611111111","133.87285833333334","58",
"5_522_1","34.61675833333334","133.873125","59",
"5_522_1","34.61613333333333","133.87336944444445","60",
"5_522_1","34.61552777777778","133.87347222222223","61",
"5_522_1","34.614869444444444","133.87345555555555","62",
"5_522_1","34.61378888888889","133.87329444444444","63",
"5_522_1","34.61267222222222","133.87270555555557","64",
"5_522_1","34.61215833333333","133.8724861111111","65",
"5_522_1","34.61156666666667","133.8722","66",
"5_522_1","34.61134444444444","133.8717","67",
"5_522_1","34.61108611111111","133.87124166666666","68",
"5_522_1","34.61075","133.87063333333333","69",
"5_522_1","34.610572222222224","133.87062777777777","70",
"5_522_1","34.60888611111111","133.8712","71",
"5_522_1","34.60868888888889","133.87128055555556","72",
"5_522_1","34.60856666666667","133.87134166666667","73",
"5_522_1","34.608466666666665","133.87134722222223","74",
