table_name,field_name,field_value,language,translation
trips,trip_headsign,岡山駅前行,ja-Hrkt,おかやまえきまえ
trips,trip_headsign,岡山駅前行,en,Okayama Ekimae
trips,trip_headsign,岡山駅前行,zh-CN,冈山站前
trips,trip_headsign,岡山駅前行,zh-TW,岡山站前
trips,trip_headsign,岡山駅前行,ko,오카야마에키마에
trips,trip_headsign,清輝橋行,ja,清輝橋
trips,trip_headsign,清輝橋行,ja-Hrkt,せいきばし
trips,trip_headsign,清輝橋行,en,Seikibashi
trips,trip_headsign,清輝橋行,zh-CN,清辉桥
trips,trip_headsign,清輝橋行,zh-TW,清輝橋
trips,trip_headsign,清輝橋行,ko,세이키바시
trips,trip_headsign,東山行,ja,東山
trips,trip_headsign,東山行,ja-Hrkt,ひがしやま
trips,trip_headsign,東山行,en,Higashiyama
trips,trip_headsign,東山行,zh-CN,东山
trips,trip_headsign,東山行,zh-TW,東山
trips,trip_headsign,東山行,ko,히가시야마
trips,trip_headsign,西大寺町行,ja,西大寺町
trips,trip_headsign,西大寺町行,ja-Hrkt,さいだいじちょう
trips,trip_headsign,西大寺町行,en,Saidaiji-cho
trips,trip_headsign,西大寺町行,zh-CN,西大寺町
trips,trip_headsign,西大寺町行,zh-TW,西大寺町
trips,trip_headsign,西大寺町行,ko,사이다이지초
