"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"29003_290552_1","29_918_20251001","918_292021292_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014754_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014759_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014758_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014759_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021281_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021282_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014763_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021285_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014752_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014755_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014758_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014749_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014754_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014749_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021294_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014752_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014762_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014750_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014756_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014756_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014750_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014763_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021280_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014757_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014751_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021296_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_921_20251001","921_292014751_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021286_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014761_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_918_20251001","918_292021293_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
"29003_290552_1","29_920_20251001","920_292014755_20251001","倉敷芸科大学",,,,"3_290552_1",,,"29"
